Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
2,8.48562,0,0,0,0,0,0,0,-1.259259,-0.5555556,0.6666667,0
2,8.502216,0,0,0,0,0,0,0,-0.7777778,-0.1851852,0.6666667,0
2,8.519084,0,0,0,0,0,0,0,-0.2962963,0.07407407,0.7407407,0
2,8.535317,0,0,0,0,0,0,0,0,0.2222222,0.7777778,0
2,8.551885,0,0,0,0,0,0,0,0.5555556,0.4074074,0.8518519,0
2,8.568726,0,0,0,0,0,0,0,0.8518519,0.4444444,0.9259259,0
2,8.585019,0,0,0,0,0,0,0,1.259259,0.5185185,0.8518519,0
2,8.60179,0,0,0,0,0,0,0,1.407407,0.5555556,0.6666667,0
2,8.618328,0,0,0,0,0,0,0,1.37037,0.5555556,0.6296296,0
2,8.634718,0,0,0,0,0,0,0,1.333333,0.5185185,0.7407407,0
2,8.651301,0,0,0,0,0,0,0,1.444444,0.4814815,0.8888889,0
2,8.667986,0,0,0,0,0,0,0,1.555556,0.4814815,0.8888889,0
2,8.684468,0,0,0,0,0,0,0,1.814815,0.5185185,0.8148148,0
2,8.701555,0,0,0,0,0,0,0,1.814815,0.5925926,0.8148148,0
2,8.717646,0,0,0,0,0,0,0,1.666667,0.5925926,0.6296296,0
2,8.734132,0,0,0,0,0,0,0,1.148148,0.5555556,0.4814815,0
2,8.751214,0,0,0,0,0,0,0,0.8148148,0.5185185,0.5925926,0
2,8.767259,0,0,0,0,0,0,0,0.2592593,0.5555556,0.8148148,0
2,8.783896,0,0,0,0,0,0,0,-0.2222222,0.5925926,0.962963,0
2,8.800865,0,0,0,0,0,0,0,-0.5185185,0.5925926,1.148148,0
2,8.816971,0,0,0,0,0,0,0,-1.296296,-0.07407407,1.592593,0
2,8.83391,0,0,0,0,0,0,0,-1.555556,-0.7407407,1.185185,0
2,8.850106,0,0,0,0,0,0,0,-1.518519,-0.8148148,0.8888889,0
2,8.86699,0,0,0,0,0,0,0,-1.333333,-0.7037037,0.4814815,0
2,8.883237,0,0,0,0,0,0,0,-1.222222,-0.7037037,0.4074074,0
2,8.900607,0,0,0,0,0,0,0,-0.962963,-0.6296296,0.5925926,0
2,8.916363,0,0,0,0,0,0,0,-0.8888889,-0.6296296,0.8518519,0
2,8.933167,0,0,0,0,0,0,0,-0.9259259,-0.7037037,0.9259259,0
2,8.949754,0,0,0,0,0,0,0,-0.9259259,-0.7037037,0.9259259,0
2,8.966233,0,0,0,0,0,0,0,-1,-0.9259259,0.7037037,0
2,8.982841,0,0,0,0,0,0,0,-0.8888889,-0.8888889,0.6666667,0
2,8.999372,0,0,0,0,0,0,0,-0.6666667,-0.7407407,0.7407407,0
2,9.015753,0,0,0,0,0,0,0,-0.5555556,-0.7037037,0.7777778,0
2,9.032325,0,0,0,0,0,0,0,-0.3703704,-0.5925926,0.8148148,0
2,9.048886,0,0,0,0,0,0,0,-0.2222222,-0.5185185,0.8148148,0
2,9.065533,0,0,0,0,0,0,0,-0.1481481,-0.5185185,0.8148148,0
2,9.082248,0,0,0,0,0,0,0,-0.07407407,-0.4814815,0.8148148,0
