#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
-9.972025,-1.357698,74.7728,97.53653,35.08924,123.022,43.44338,0
-9.972025,-1.357698,74.7728,97.53653,35.08924,123.022,43.44338,0
-9.996402,-1.295192,73.6179,96.56621,34.77803,120.7566,42.3707,0
-10.06354,-1.075046,73.00889,97.76941,35.16705,118.2225,40.87662,0
-10.15438,-1.160648,73.39156,97.84703,34.73913,119.9119,41.06817,0
-10.10434,-1.263772,73.79283,97.30365,34.73913,121.2942,41.83437,0
-10.10434,-1.263772,73.79283,97.30365,34.73913,121.2942,41.83437,0
-10.05606,-1.324661,74.38844,97.4589,34.89474,122.5613,42.63887,0
-9.761581,-1.553793,77.00263,97.92466,36.13959,127.668,46.27831,0
-9.648982,-1.630462,78.08922,98.27397,36.68421,129.6646,47.73409,0
-9.648982,-1.630462,78.08922,98.27397,36.68421,129.6646,47.73409,0
-9.472353,-1.792025,78.7094,97.07078,36.83982,131.354,49.57296,0
-9.363297,-1.84391,78.63013,96.13927,36.95652,131.2388,50.18592,0
-9.241288,-1.88794,78.39687,95.09132,37.03432,130.7013,50.76056,0
-9.23991,-1.874873,78.3877,95.24657,37.03432,130.5093,50.76056,0
-9.197032,-1.87932,78.44531,95.16895,37.15103,130.4325,51.02873,0
-9.154865,-1.850505,78.47536,95.3242,37.42334,130.0486,51.10535,0
-9.134848,-1.713903,78.31692,96.25571,38.00687,128.5127,50.49239,0
-9.216059,-1.683036,77.5852,96.02283,37.38444,127.2456,49.68789,0
-9.281217,-1.601241,77.01955,96.2169,37.26773,125.9017,48.69183,0
-9.320603,-1.488411,76.28156,96.29452,37.34554,123.9819,47.50423,0
-9.385817,-1.378152,75.77474,96.79909,37.34554,122.4845,46.46986,0
-8.611483,-1.035819,77.61961,100.2534,41.58581,118.6448,49.99437,0
-7.864266,-1.004267,79.8576,101.5731,44.77575,117.9537,55.12789,0
-7.523057,-0.8866426,80.33478,102.1941,46.60412,116.0339,56.50704,0
-6.87288,-0.8450046,81.16539,101.7283,49.17162,113.7301,60.03155,0
-5.611313,-0.6878104,80.49641,97.65297,54.11213,106.358,63.86253,0
-4.609396,-0.8444513,80.7516,94.66438,55.47368,102.288,70.58036,0
